Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
3,684400,Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",MBBS,DEEMED PS,Open,2700000,1180,0,0,18500
3,684493,Pondicherry,"Aarupadai Veedu, Pondicherry",MBBS,DEEMED PS,Open,2388000,584,0,0,5000
3,684502,Maharashtra,"BV Dental Coll, Sangli",BDS,DEEMED PS,Open,414750,280,0,0,Info not available
3,684626,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,684646,Odisha,"Inst of Dental Sci,Bhubaneswar",BDS,DEEMED PS,Open,600000,Info Not Available,0,0,11000
3,684652,Karnataka,"Shri BM Patil, Vijayapura",MBBS,DEEMED NRI,Open,2850000,1130,Info Not Available,Info not available,Info not available
3,684757,Tamil Nadu,"Thaimoogambigai Dental,Chennai",BDS,DEEMED PS,Open,450000,330,0,0,Info not available
3,684777,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,684810,Pondicherry,"Vinayaka Missions, Karaikal",MBBS,DEEMED PS,Open,2188000,590,0,0,20000
3,684890,Tamil Nadu,"ACS Med Coll, Chennai",MBBS,DEEMED PS,Open,2500000,1050,0,0,25000
3,684907,Maharashtra,"Sharad Pawar Dent Coll, Wardha",BDS,DEEMED PS,Open,460000,350,0,0,Info not available
3,684971,Pondicherry,"Vinayaka Missions, Karaikal",MBBS,DEEMED PS,Open,2188000,590,0,0,20000
3,685186,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,685211,Tamil Nadu,"Meenakshi Ammal Dental,Chennai",BDS,DEEMED PS,Open,550000,Info Not Available,0,0,Info not available
3,685230,Tamil Nadu,"Shri Satya Sai, Kancheepuram",MBBS,DEEMED PS,Open,2402000,1120,0,0,2500
3,685262,Maharashtra,"MGM Med Coll, Aurangabad",MBBS,DEEMED NRI,Open,5160000,700,0,0,18000
3,685311,Maharashtra,"BV Dental Coll, Navi Mumbai",BDS,DEEMED PS,Open,591250,Info Not Available,0,0,Info not available
3,685496,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,685548,Haryana,"MM Coll Dental, Mullana,Ambala",BDS,DEEMED PS,Open,318300,350,0,0,3000
3,685589,Haryana,"Manav Rachna Dental, Faridabad",BDS,DEEMED PS,Open,415000,Info Not Available,0,0,Info not available
3,685724,Tamil Nadu,"Meenakshi Ammal Dental,Chennai",BDS,DEEMED PS,Open,550000,Info Not Available,0,0,Info not available
3,685743,Tamil Nadu,"Shri Satya Sai, Kancheepuram",MBBS,DEEMED PS,Open,2402000,1120,0,0,2500
3,685751,Pondicherry,"IG Inst Dental Sci,Pondicherry",BDS,DEEMED PS,Open,342000,Info Not Available,0,0,Info not available
3,685876,Karnataka,"Yenepoya Dental Coll, Yenepoya",BDS,DEEMED PS,Open,526000,Info Not Available,Info Not Available,Info not available,5500
