Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
WB Govt Quota,UR Open,West Bengal,Murshidabad Med Coll,ORTHOPAEDICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1208,-,-,-,-,-,-,202(1),275(1),558(1),-,-
WB Govt Quota,UR Open,West Bengal,"RG Kar Med Coll, Kolkata",PSYCHIATRY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,287(1),294(1),336(1),336(1),-,-,252(1),343(1),559(1),-,-
WB Govt Quota,UR Open,West Bengal,"VIMS, Kolkata",GENERAL SURGERY,"₹18,000*","₹49,884*",0,₹0,Info Not Available,264(2),345(2),402(2),387(2),-,-,304(2),390(2),563(2),45(1),-
WB Govt Quota,EWS Open,West Bengal,Bankura Sammilani Med Coll,RADIO DIAGNOSIS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1441,-,-,-,-,-,-,318(1),323(1),566(1),-,-
WB Govt Quota,EWS Open,West Bengal,"Medical College, Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,-,-,-,-,-,-,433(1),415(1),567(1),-,-
WB Govt Quota,UR Open,West Bengal,"College of Med & SDH, Kolkata",OBG,"₹12,000*","₹49,884",3*,"₹30,00,000*",500,232(1),279(1),319(1),319(1),-,-,233(1),315(1),570(1),-,-
WB Govt Quota,UR Open,West Bengal,"IPGMER, Kolkata",EMERGENCY MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,337(1),326(1),275(1),275(1),-,-,176(1),427(1),571(1),-,-
WB Govt Quota,ST Open,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,-,-,-,-,-,-,686(1),670(1),572(1),-,-
WB Govt Quota,EWS Open,West Bengal,"RG Kar Med Coll, Kolkata",GENERAL SURGERY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,-,-,-,-,-,-,688(1),672(1),573(1),-,-
WB Govt Quota,UR Open,West Bengal,Midnapore Medical College,GENERAL SURGERY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1051,274(2),283(2),408(2),408(2),-,-,288(1),365(1),575(1),-,-
WB Govt Quota,EWS Open,West Bengal,"Inst of Child Health, Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",Info Not Available,-,-,-,-,-,-,492(1),664(1),576(1),-,-
