Counselling,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,Fee Session,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5,CR 2024 6
WB PG,WB Mgmt Quota,MQ,West Bengal,"Gouri Devi Inst of MS,Durgapur",OPHTHALMOLOGY,"₹40,00,000*","₹44,000",0,₹0,-,2024,-,-,-,-,-,-,-,-,-,1574(1),1841(1),1734(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SriVenkateswaraa, Pondicherry",PHARMACOLOGY,"₹1,00,000*","₹7,000*",0,₹0,1120,2024,-,-,-,-,-,-,2220(1),-,-,-,-,1735(1),-,-,2215(1),-
WB PG,WB Mgmt Quota,MQ,West Bengal,"KPC Med Coll, Jadavpur",ENT,"₹27,00,000*","₹43,758",0,₹0,750,2024,-,1274(2),1525(2),985(2),935(2),-,-,-,-,1764(2),1339(2),1745(2),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",PATHOLOGY,"₹5,00,000*",₹0*,0,₹0,900,2024,-,253(3),1576(1),2135(2),1937(1),-,-,-,-,629(3),-,1753(3),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Gouri Devi Inst of MS,Durgapur",PAEDIATRICS,"₹40,00,000*","₹44,000",0,₹0,-,2024,-,-,-,-,-,-,-,-,-,1613(3),1621(3),1756(3),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"IQ-City Med Coll, Burdwan",ENT,"₹27,00,000*","₹40,000",0*,₹0*,800,2024,-,1285(1),1315(1),1235(1),1235(1),-,-,-,-,1833(1),1920(1),1763(1),-,612(1),-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Gouri Devi Inst of MS,Durgapur",ENT,"₹40,00,000*","₹44,000",0,₹0,-,2024,-,-,-,-,-,-,-,-,-,1805(1),1925(1),1764(1),-,591(1),558(1),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,Muzaffarnagar Medical College,GENERAL MEDICINE,"₹23,23,197*","₹56,100*",1*,₹0*,857,2024,-,1551(8),1646(8),181(1),172(1),75(1),-,-,-,1457(8),1847(8),1765(8),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",GENERAL MEDICINE,"₹15,50,000*","₹10,000*",0,₹0,550,2024,-,-,-,-,-,-,-,-,-,610(3),761(3),1769(3),-,2467(1),2489(1),-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Fathima IMS,Kadapa",PAEDIATRICS,"₹9,93,600*","₹25,000*",1*,Info not available*,750,2024,-,660(1),1492(1),-,-,-,-,-,-,558(1),978(1),1783(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Prasad Inst of Med Sci,Lucknow",RADIO DIAGNOSIS,"₹21,63,946*","₹18,000",0,₹0,410,2024,-,-,-,-,-,-,-,-,-,1682(6),1758(6),1789(6),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Rajshree MRI, Bareilly",RADIO DIAGNOSIS,"₹24,89,880*","₹32,000",1*,₹0*,740,2024,-,1348(3),1424(3),-,-,-,-,-,-,1644(3),1699(3),1790(3),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Rohilkhand Med Coll, Bareilly",RADIO DIAGNOSIS,"₹29,09,009*","₹24,000*",1,"₹15,00,000",720,2024,-,1545(16),1640(16),151(1),93(1),45(1),-,-,-,1703(16),1762(16),1792(16),-,1969(1),-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Mookambika IMS, Kanyakumari",GENERAL SURGERY,"₹15,50,000*","₹15,000*",0,₹0,600,2024,-,-,1788(4),1761(3),1880(1),-,-,-,-,-,-,1813(2),-,3078(1),-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"IQ-City Med Coll, Burdwan",PSYCHIATRY,"₹27,00,000*","₹40,000",0*,₹0*,800,2024,-,-,1210(1),1127(1),1127(1),-,-,-,-,1736(1),1705(1),1815(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"PIMS, Pondicherry",PHARMACOLOGY,"₹6,55,000","₹43,000",0,₹0,740,2024,-,-,1556(1),-,1882(1),-,-,-,-,-,-,1818(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"SVS Med Coll, Mehboobnagar",PATHOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,1283(4),1454(4),1940(4),1940(4),1940(4),1940(4),-,-,1563(3),1563(3),1826(3),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"IQ-City Med Coll, Burdwan",ANAESTHESIOLOGY,"₹27,00,000*","₹40,000",0*,₹0*,800,2024,-,-,1630(2),1304(2),680(2),-,-,-,-,1861(2),1944(2),1844(2),-,542(2),468(1),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Mayo IMS, Barabanki",RADIO DIAGNOSIS,"₹20,30,961*","₹14,000*",1*,₹0*,736,2024,-,1422(3),1536(3),-,-,-,-,-,-,1512(3),1544(3),1847(3),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Gouri Devi Inst of MS,Durgapur",TBRD,"₹40,00,000*","₹44,000",0,₹0,-,2024,-,-,-,-,-,-,-,-,-,1547(2),1847(2),1847(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Maheshwara Med Coll, Medak",PATHOLOGY,"₹5,30,000*",Info not available*,1*,"₹20,00,000*",745,2024,-,-,-,-,-,-,-,-,-,1778(1),1778(1),1851(1),-,2054(1),2326(1),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"SRMS IMS, Bareilly",DERMATOLOGY,"₹25,09,957*","₹32,000*",1*,₹0*,950,2024,-,1126(4),1700(4),-,-,-,-,-,-,1236(4),1824(4),1855(4),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SriVenkateswaraa, Pondicherry",PATHOLOGY,"₹13,05,000*","₹7,000*",2*,Info not available*,1120,2024,-,-,-,2168(1),-,-,2181(1),-,-,-,-,1859(2),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Nimra Inst of Med Sci, Krishna",ORTHOPAEDICS,"₹9,93,600*",Info not available*,1*,Info not available*,-,2024,-,1350(2),2386(2),3326(1),-,-,-,-,-,1490(2),1764(2),1861(2),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",TBRD,"₹15,50,000*","₹35,000*",0,₹0,800,2024,-,599(1),599(1),599(1),-,-,-,-,-,611(1),1003(1),1866(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Gouri Devi Inst of MS,Durgapur",ANAESTHESIOLOGY,"₹40,00,000*","₹44,000",0,₹0,-,2024,-,-,-,1425(2),633(2),-,-,-,-,1708(1),1990(1),1877(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata AcadofMedSci,Bachupally",PATHOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,1041(2),1260(2),1590(2),1590(2),1590(2),1590(2),-,-,1508(2),1508(2),1882(2),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Subharti Med Coll, Meerut",DERMATOLOGY,"₹14,43,744*","₹30,000*",2*,₹0*,938,2024,-,1154(3),1214(3),-,-,-,-,-,-,1094(2),1852(2),1885(2),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",ENT,"₹15,50,000*","₹35,000*",0,₹0,818,2024,-,-,-,-,-,-,-,-,-,828(1),1249(1),1888(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Varun Arjun, Shahjahanpur",RADIO DIAGNOSIS,"₹23,38,116*","₹24,000*",1,"₹10,00,000",770,2024,-,1560(4),1655(4),-,-,-,-,-,-,1685(5),1759(5),1890(5),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",PSYCHIATRY,"₹15,50,000*","₹37,000*",0,₹0,1024,2024,-,795(1),1193(1),954(1),-,-,-,-,-,825(1),1027(1),1893(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata Med Coll, Khammam",PATHOLOGY,"₹6,60,000*",Info not available*,1*,"₹20,00,000*",1080,2024,-,1047(1),1382(1),1941(1),1941(1),1941(1),1941(1),-,-,1575(1),1575(1),1896(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Jagannath Gupta IMS, Kolkata",PAEDIATRICS,"₹27,00,000*","₹43,600",0,₹0,-,2024,-,-,-,-,-,-,-,-,-,1569(4),1642(4),1899(4),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Gouri Devi Inst of MS,Durgapur",ORTHOPAEDICS,"₹40,00,000*","₹44,000",0,₹0,-,2024,-,-,-,-,-,-,-,-,-,1799(2),1800(2),1900(2),-,485(1),310(1),-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Jagannath Gupta IMS, Kolkata",ENT,"₹27,00,000*","₹43,600",0,₹0,-,2024,-,1430(1),-,1266(1),514(1),-,-,-,-,1350(1),1790(1),1901(1),-,538(1),487(1),-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Jagannath Gupta IMS, Kolkata",GENERAL SURGERY,"₹27,00,000*","₹43,600",0,₹0,-,2024,-,1297(2),1297(2),1297(2),1297(2),-,-,-,-,1789(4),1878(4),1909(4),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Hind IMS, Barabanki",DERMATOLOGY,"₹25,24,901*","₹35,000",1*,₹0*,580,2024,-,1063(2),1118(2),-,-,-,-,-,-,1440(2),1885(2),1920(2),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",ANAESTHESIOLOGY,"₹15,50,000*","₹37,000*",0,₹0,1024,2024,-,635(2),954(2),730(2),-,-,-,-,-,791(2),791(2),1927(2),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"SRMS IMS, Bareilly",GENERAL MEDICINE,"₹25,09,957*","₹32,000*",1*,₹0*,950,2024,-,1614(12),1713(12),-,-,-,-,-,-,1377(12),1872(12),1927(12),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Gouri Devi Inst of MS,Durgapur",GENERAL SURGERY,"₹40,00,000*","₹44,000",0,₹0,-,2024,-,-,1430(3),1367(3),1367(3),-,-,-,-,1824(2),1882(2),1932(2),-,479(1),480(1),-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni IMS, Narketpally",HOSPITAL ADMINISTRATION,"₹2,16,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,-,-,-,-,-,-,-,-,1811(1),2358(1),1936(1),-,1935(1),2188(1),-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Jagannath Gupta IMS, Kolkata",ANAESTHESIOLOGY,"₹27,00,000*","₹43,600",0,₹0,-,2024,-,-,-,-,-,-,-,-,-,1906(2),1980(2),1938(2),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Fathima IMS,Kadapa",GENERAL SURGERY,"₹9,93,600*","₹25,000*",1*,Info not available*,750,2024,-,1092(1),1868(1),-,2297(1),-,-,-,-,1415(1),1106(1),1943(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"IQ-City Med Coll, Burdwan",PATHOLOGY,"₹6,40,000*","₹40,000",0*,₹0*,800,2024,-,-,-,-,-,-,-,-,-,1744(1),1677(1),1950(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"ICARE IMS & R, Haldia",PATHOLOGY,"₹15,50,000*","₹25,000",0,₹0,Info Not Available,2024,-,-,-,896(1),858(1),-,-,-,-,1959(1),1985(1),1951(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Krishna Mohan Med Coll,Mathura",RADIO DIAGNOSIS,"₹21,63,946*","₹15,000*",0,₹0,700,2024,-,-,-,-,-,-,-,-,-,-,-,1953(4),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",SPM,"₹5,00,000*",₹0*,0,₹0,900,2024,-,171(1),-,2090(1),-,-,-,-,-,508(2),-,1962(2),-,2079(1),-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"KPC Med Coll, Jadavpur",PSYCHIATRY,"₹27,00,000*","₹43,758",0,₹0,750,2024,-,-,-,-,-,-,-,-,-,-,-,1968(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"IQ-City Med Coll, Burdwan",GENERAL SURGERY,"₹27,00,000*","₹40,000",0*,₹0*,800,2024,-,1544(3),1317(4),1320(4),1212(4),-,-,-,-,1666(5),1880(5),1972(5),-,512(2),-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Shri Ramkrishna IMS, Durgapur",PSYCHIATRY,"₹40,00,000*","₹60,000",0,₹0,-,2024,-,-,-,-,-,-,-,-,-,-,1739(1),1984(1),-,619(1),182(1),-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",ORTHOPAEDICS,"₹15,50,000*","₹10,000*",0,₹0,550,2024,-,-,-,-,-,-,-,-,-,1134(2),1837(2),1997(2),-,3367(1),-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Joseph Eye Hosp, Trichy",OPHTHALMOLOGY,"₹15,50,000*","₹48,000*",2*,"₹40,00,000*",450,2024,-,524(4),1013(4),1013(4),-,-,-,-,-,1089(4),966(4),2005(4),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Shri Ramkrishna IMS, Durgapur",GENERAL SURGERY,"₹40,00,000*","₹60,000",0,₹0,-,2024,-,1484(1),766(1),793(1),566(1),-,-,-,-,1374(3),1235(3),2022(3),-,529(2),476(1),-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"RVM IMSRC, Siddipet",PHARMACOLOGY,"₹5,30,000*",Info not available*,1*,"₹20,00,000*",1110,2024,-,-,2223(1),-,-,-,-,-,-,-,2032(1),2032(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni IMS, Narketpally",PATHOLOGY,"₹5,45,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,1123(1),1466(1),1606(1),2174(1),-,-,-,-,1635(1),1635(1),2042(1),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Nimra Inst of Med Sci, Krishna",GENERAL SURGERY,"₹9,93,600*",Info not available*,1*,Info not available*,-,2024,-,1136(2),2205(2),2393(1),-,-,-,-,-,1390(2),1575(2),2044(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Dr Patnam MRInstofMS,Chevella",PATHOLOGY,"₹5,30,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,1223(1),1459(1),1484(1),1484(1),1484(1),1484(1),-,-,1716(1),1474(1),2046(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",RADIO DIAGNOSIS,"₹39,90,000*","₹69,600",0,₹0,1000,2024,-,1727(6),1841(6),-,-,-,-,-,-,1917(8),2033(8),2075(8),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Surabhi InstituteofMS,Siddipet",PATHOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,-,-,-,2027(1),2458(1),-,-,1739(1),1665(1),2091(1),-,2331(1),-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"IQ-City Med Coll, Burdwan",MICROBIOLOGY,"₹6,40,000*","₹40,000",0*,₹0*,800,2024,-,-,-,-,-,-,-,-,-,-,-,2109(1),-,897(1),851(1),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Rama Med Coll, Kanpur",DERMATOLOGY,"₹25,62,430*","₹30,000",0,₹0,730,2024,-,1711(2),1838(2),-,-,-,-,-,-,1752(2),2075(2),2118(2),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Gouri Devi Inst of MS,Durgapur",PATHOLOGY,"₹27,00,000*","₹44,000",0,₹0,-,2024,-,1492(1),1562(1),1633(1),789(1),-,-,-,-,1625(1),1948(1),2121(1),-,757(1),688(1),-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SriVenkateswaraa, Pondicherry",SPM,"₹13,05,000*","₹7,000*",2*,Info not available*,1120,2024,-,-,-,2048(1),2033(1),-,-,-,-,-,-,2124(2),-,-,2217(1),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"SMSR, Greater Noida",GENERAL MEDICINE,"₹25,40,649*","₹32,000",0,₹0,1200,2024,-,1698(16),1808(16),-,-,-,-,-,-,1772(16),2088(16),2131(16),-,-,-,-
RJSTHN PG,RAJ Priv-All India,GEN,Rajasthan,"Ananta IMS & RC, Rajsamand",GENERAL MEDICINE,"₹32,55,000*","₹25,000",0,₹0,775,2024,-,1936(5),1999(5),2042(4),-,-,-,-,-,2030(4),2138(3),2145(3),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Saraswati IMS, Hapur",DERMATOLOGY,"₹20,22,143*","₹32,000*",0,₹0,851,2024,-,1284(5),1357(5),-,-,-,-,-,-,1614(5),2116(5),2160(5),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SriVenkateswaraa, Pondicherry",MICROBIOLOGY,"₹1,00,000*","₹7,000*",0,₹0,1120,2024,-,-,-,-,-,-,-,-,-,-,-,2172(1),-,-,2216(1),-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",GENERAL SURGERY,"₹15,50,000*","₹35,000*",0,₹0,800,2024,-,452(1),1434(2),1407(1),-,-,-,-,-,912(2),833(2),2175(2),-,-,-,-
RJSTHN PG,RAJ Priv-Mgmt Quota,GEN,Rajasthan,"MGMC&H, Sitapur, Jaipur",RADIO DIAGNOSIS,"₹72,50,000*","₹55,000",0,₹0,1400,2024,-,1245(4),1691(4),1720(4),-,-,-,-,-,1983(2),2256(4),2178(4),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"GS Med Coll Hosp,Hapur",DERMATOLOGY,"₹21,63,946*","₹32,000",0,₹0,Info Not Available,2024,-,1602(3),1647(3),-,-,-,-,-,-,1915(3),2136(3),2181(3),-,2582(1),2276(1),-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"RVM IMSRC, Siddipet",PATHOLOGY,"₹5,30,000*",Info not available*,1*,"₹20,00,000*",1110,2024,-,1302(1),1535(1),1535(1),1535(1),1535(1),1535(1),-,-,1558(1),1448(1),2184(1),-,-,-,-
RJSTHN PG,RAJ Priv-Mgmt Quota,GEN,Rajasthan,"MGMC&H, Sitapur, Jaipur",DERMATOLOGY,"₹75,00,000*","₹55,000",0,₹0,1400,2024,-,1301(1),1562(1),-,1865(1),-,-,-,-,2165(2),2184(2),2192(2),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",EMERGENCY MEDICINE,"₹15,50,000*","₹10,000*",0,₹0,550,2024,-,989(2),1222(2),1222(2),-,-,-,-,-,661(1),1378(1),2201(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"GS Med Coll Hosp,Hapur",GENERAL MEDICINE,"₹21,63,946*","₹32,000",0,₹0,Info Not Available,2024,-,1926(4),1995(4),277(1),-,-,-,-,-,1872(4),2165(4),2210(4),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"St. Peters Medical Coll, Hosur",ORTHOPAEDICS,"₹15,50,000*",Info not available,Info Not Available,Info not available,-,2024,-,-,-,-,-,-,-,-,-,-,-,2226(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"KPC Med Coll, Jadavpur",MICROBIOLOGY,"₹8,50,000*","₹43,758",0,₹0,750,2024,-,-,-,-,-,-,-,-,-,-,-,2227(1),-,819(1),-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",RADIO DIAGNOSIS,"₹39,95,000*","₹62,000",0,₹0,850,2024,-,1808(8),1928(8),-,-,-,-,-,-,1873(7),2103(7),2251(7),-,2856(1),-,-
RJSTHN PG,RAJ Priv-All India,GEN,Rajasthan,"MGMC&H, Sitapur, Jaipur",GENERAL MEDICINE,"₹48,50,000*","₹55,000",0,₹0,1400,2024,-,1619(5),1611(5),1639(5),-,-,-,-,-,2029(4),2251(4),2259(4),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",SPM,"₹5,30,000*",Info not available*,1*,"₹20,00,000*",570,2024,-,-,-,-,-,-,-,-,-,1531(1),2259(1),2259(1),-,-,-,-
RJSTHN PG,RAJ Priv-All India,GEN,Rajasthan,"American Intl IMS, Bedwas",PAEDIATRICS,"₹32,55,000*","₹20,000",0,₹0,700,2024,-,2133(1),-,-,-,-,-,-,-,2247(1),2267(1),2275(1),-,-,-,-
RJSTHN PG,RAJ Priv-All India,GEN,Rajasthan,Jaipur National Univ IMS,RADIO DIAGNOSIS,"₹75,00,000*",Info not available*,0,₹0,810,2024,-,1714(1),2643(1),2768(1),-,-,-,-,-,2250(1),2270(1),2278(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mahavir Inst of MS, Vikarabad",ANATOMY,"₹1,70,000*",Info not available*,1*,"₹20,00,000*",700,2024,-,-,-,-,-,-,-,-,-,-,2300(1),2300(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Heritage IMS, Varanasi",GENERAL MEDICINE,"₹21,12,517*","₹21,000",0,₹0,735,2024,-,1952(3),2085(3),-,-,-,-,-,-,1957(3),2260(3),2307(3),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",PSYCHIATRY,"₹15,50,000*","₹35,000*",0,₹0,800,2024,-,1244(1),1621(1),2285(1),-,-,-,-,-,1104(1),1852(1),2308(1),-,3214(1),-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Hind IMS, Sitapur",DERMATOLOGY,"₹20,40,950*","₹30,000",1*,₹0*,700,2024,-,1731(2),1845(2),-,-,-,-,-,-,2075(2),2263(2),2310(2),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Career Instt of MS, Lucknow",RADIO DIAGNOSIS,"₹42,20,000*","₹40,000",0,₹0,600,2024,-,1801(1),1921(1),-,-,-,-,-,-,1984(1),2279(1),2326(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"IIMSR, Lucknow",RADIO DIAGNOSIS,"₹41,95,000*","₹40,800",0,₹0,540,2024,-,1854(1),1636(1),-,-,-,-,-,-,2087(1),2285(1),2332(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",PHARMACOLOGY,"₹5,45,000*",Info not available*,1*,"₹20,00,000*",650,2024,-,-,1872(1),2017(1),-,-,-,-,-,-,2541(1),2332(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",ENT,"₹15,50,000*","₹35,000*",0,₹0,800,2024,-,1184(1),1413(1),2116(1),2222(1),2785(1),-,-,-,1121(1),1285(1),2335(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"CAIMS, Karimnagar",ANATOMY,"₹2,00,000*",Info not available*,1*,"₹20,00,000*",1000,2024,-,1182(1),2355(1),-,-,-,-,-,-,-,2339(1),2339(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Rama Med Coll, Hapur",DERMATOLOGY,"₹24,75,612*","₹30,000*",Info Not Available,Info not available,1259,2024,-,1596(3),1693(3),-,-,-,-,-,-,1955(3),2302(3),2349(3),-,-,-,-
RJSTHN PG,RAJ Priv-All India,GEN,Rajasthan,"Ananta IMS & RC, Rajsamand",PAEDIATRICS,"₹32,55,000*","₹25,000",0,₹0,775,2024,-,2270(3),2602(2),2723(2),-,-,-,-,-,2343(3),2364(3),2372(3),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,Melmaruvathur Adiparasakthi,ENT,"₹15,50,000*","₹35,000*",0,₹0,700,2024,-,956(1),1787(1),1787(1),-,-,-,-,-,1140(1),1140(1),2378(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Trichy SRM Med Coll, Trichy",MICROBIOLOGY,"₹4,35,000*","₹35,000*",0,₹0,1575,2024,-,-,-,3412(1),3758(1),-,-,-,-,2392(1),2392(1),2392(1),-,-,-,-
RJSTHN PG,RAJ Priv-Mgmt Quota,GEN,Rajasthan,"MGMC&H, Sitapur, Jaipur",OBG,"₹68,50,000*","₹55,000",0,₹0,1400,2024,-,2077(3),2297(3),2375(3),-,-,-,-,-,2366(1),2388(1),2397(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",PATHOLOGY,"₹4,35,000*","₹37,000*",0,₹0,1024,2024,-,1331(2),1623(2),2213(2),-,-,-,-,-,1256(2),1256(2),2401(2),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Subharti Med Coll, Meerut",OBG,"₹14,43,744*","₹30,000*",2*,₹0*,938,2024,-,1628(4),1728(4),150(1),-,-,-,-,-,1716(3),2355(3),2403(3),-,3583(1),-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,Melmaruvathur Adiparasakthi,ANAESTHESIOLOGY,"₹15,50,000*","₹35,000*",0,₹0,700,2024,-,688(1),1204(1),1204(1),-,-,-,-,-,1097(2),984(2),2405(2),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"ICARE IMS & R, Haldia",PHARMACOLOGY,"₹15,50,000*","₹25,000",0,₹0,Info Not Available,2024,-,-,-,1772(1),778(1),-,511(1),-,-,-,-,2405(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"TS Misra Med Coll, Lucknow",DERMATOLOGY,"₹21,63,946*","₹30,000",0,₹0,735,2024,-,1754(2),1869(2),-,-,-,-,-,-,1953(2),2357(2),2405(2),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Rohilkhand Med Coll, Bareilly",DERMATOLOGY,"₹29,09,009*","₹24,000*",1,"₹15,00,000",720,2024,-,1575(3),1609(3),152(1),153(1),-,-,-,-,2123(5),2369(5),2417(5),-,-,-,-
